0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-468.58682,101.04906,12.186749,51.274136,3.2578382,17.136408,-15.124469,3.0058148,1.6564016,-15.388653,-0.02145569,0.7550344,1.8736221,-8.277383,7.6681247,-0.20641492,-1.7592382,5.069093,-3.5615406,-2.5199082,-0.8119513,-0.125761,1.0609254,11.5600605,1.3365055,8.374136,15.923396,9.583661,13.332527,3.0642128,1.9389018,-2.2065053,-2.7365751,-1.3068596,-1.2488159,-1.8376603,-7.380609,-0.043488014,0.0039424645,-0.93989,dysarthria_female
-445.4891,86.05286,17.644032,18.740726,-9.542196,21.044966,3.102721,-4.8166957,1.901829,-9.683011,1.0153289,3.3152816,-1.9195137,-4.1390276,3.7723227,0.6474269,-4.0108333,1.4084255,-1.3479528,-6.899505,-3.4557903,0.9925131,0.62932724,8.205903,9.611896,15.1784935,19.889742,12.295094,10.379618,4.7406664,2.2200148,1.8026158,0.18962143,0.23670922,-3.1906245,-3.4604607,-1.8224262,-1.2711549,-2.16473,-2.324603,dysarthria_female
-430.1829,67.82209,-14.718369,54.33404,-18.096006,17.28985,-17.869778,-7.2512054,8.820623,-8.186029,-1.4543995,1.3849365,4.981725,-10.564142,0.9741952,-0.76022375,-0.16414759,2.400081,7.8182487,15.355699,18.04011,18.960852,7.2267175,7.6730027,-1.190551,-0.5911222,0.94751465,4.6649537,-0.32743445,-9.392609,1.2349544,-0.68876445,1.4874779,-6.56219,-9.315104,-2.5954826,-1.2175049,0.09627433,-1.1106582,6.9089513,dysarthria_female
-496.24246,88.13942,13.505606,19.113325,-13.022352,24.838158,0.46516412,10.653214,0.6309996,-3.75714,9.769427,0.78568685,5.805756,-2.1718464,5.490828,-1.5026293,3.0824497,1.3646991,-1.4429859,4.240832,-3.6243587,4.6692853,0.8470857,5.8544965,10.117597,14.172255,18.55505,8.1446,3.721346,-1.3128282,0.23762321,1.364701,3.1863127,1.6598958,-3.517555,-3.778892,-1.170171,1.2007678,-0.9126252,-1.6318914,dysarthria_female
-486.7848,89.91974,12.205756,27.252295,0.70606995,18.142906,-8.533328,3.6550646,2.7773964,-7.333391,5.467541,1.0972196,3.6153936,1.6681315,4.341727,-3.8998117,-0.5085084,0.4865633,-2.8119524,-3.0384686,-3.7720735,1.6927596,-1.3510045,6.0373406,3.6495273,11.25045,18.039461,14.713319,19.47326,6.569327,1.7218472,-1.8132181,-4.302069,2.2730148,2.3243644,-3.3484478,-7.012254,-4.8577757,-1.3529911,3.2278244,dysarthria_female
-398.77255,127.31227,13.321475,20.899685,-17.254065,8.624857,0.6871011,-0.4353717,-5.522028,-0.8446202,7.9349327,-6.3544946,5.186099,-0.5373364,3.692356,0.21806943,-3.4774704,3.071227,-5.7368546,-1.7430617,-0.15962684,-2.129088,-5.668503,-0.021850204,-1.0708305,-6.127027,1.3630912,-6.301667,-1.5452448,11.256037,11.095258,14.382401,10.771672,2.5460582,-0.39001262,-4.497097,-1.7341715,1.7533966,-1.484844,-1.5172294,dysarthria_female
-475.86993,83.358864,24.32225,29.744408,8.911668,14.957183,-1.2568038,4.093579,-0.1707796,-2.8939607,3.4085877,-1.4749329,4.1830645,1.2093602,0.9764252,-1.2679933,-1.6024752,-0.18270913,0.055704087,-2.237279,0.854211,4.1763887,-0.18998916,4.368409,2.0324333,4.2269735,6.7626095,4.377442,6.9827476,5.8035216,3.2213216,-0.13850535,0.3272073,0.34256566,1.5813807,-0.023653228,-2.0727303,-1.4254663,-1.8175422,1.6239034,dysarthria_female
-440.6606,83.35526,0.19183134,39.29185,7.8051834,9.610579,-9.677552,3.2841954,-2.7162178,-7.333067,0.98224527,-3.8625214,1.112145,-3.519898,4.903646,0.63040376,0.80386317,2.2925782,3.152201,-2.1698875,-4.3698764,2.9399087,-5.1303124,2.9815218,1.1823561,0.55868596,1.9049568,1.5705013,10.147498,9.743449,14.746442,9.900066,7.332832,4.5621953,0.2708892,1.5359162,-0.22240573,1.0940998,-1.4914113,-1.5688574,dysarthria_female
-494.7551,83.71508,5.7148013,24.171673,9.029842,17.934147,-3.173342,5.3489985,1.8501339,1.7433766,6.6759872,-0.9169766,6.0112696,1.9695928,4.9596863,1.1545963,2.7304645,4.0180182,1.3875855,-0.15469095,0.10988741,2.544875,0.1985565,4.683443,1.447551,2.3449903,0.9875754,2.3491604,6.994667,7.2866573,11.195929,5.3606334,3.6017485,1.3306127,0.10235633,-0.20816521,-0.84778726,0.84423465,-1.120078,-0.74024636,dysarthria_female
-450.72107,104.901054,-7.74606,34.092266,4.5721154,11.1637335,-6.743333,-0.8057592,1.0917722,-4.349614,3.5656366,-1.9700131,3.18634,0.6594942,0.16755578,2.95693,2.8944528,-1.5860996,3.4304328,-2.5721908,-2.477507,1.6899929,-6.4998593,6.1798234,2.0574622,-1.1588598,0.3315733,1.1967027,9.280206,9.266723,12.47427,5.6056223,3.212865,0.6553248,-2.1492815,0.77010006,0.05862665,-0.5587044,-2.8310192,-1.186037,dysarthria_female
